Pothole ID,"Bounding Box (x, y, w, h)",Timestamp
1,"(283, 154, 63, 33)",15:52:32
2,"(267, 123, 78, 42)",15:52:32
3,"(261, 120, 81, 44)",15:52:32
4,"(253, 115, 89, 48)",15:52:32
5,"(93, 398, 259, 75)",15:52:32
6,"(271, 122, 92, 48)",15:52:32
7,"(304, 131, 93, 48)",15:52:32
8,"(312, 134, 94, 51)",15:52:32
9,"(321, 146, 97, 47)",15:52:33
10,"(324, 149, 94, 50)",15:52:33
11,"(322, 151, 97, 50)",15:52:33
12,"(322, 157, 95, 48)",15:52:33
13,"(322, 159, 93, 47)",15:52:33
14,"(322, 159, 92, 47)",15:52:33
15,"(320, 161, 95, 48)",15:52:33
16,"(320, 162, 95, 49)",15:52:33
17,"(332, 171, 93, 49)",15:52:33
18,"(336, 174, 92, 49)",15:52:34
19,"(345, 179, 94, 49)",15:52:34
20,"(347, 179, 94, 50)",15:52:34
21,"(351, 179, 91, 48)",15:52:34
22,"(356, 178, 93, 48)",15:52:34
23,"(357, 178, 93, 47)",15:52:34
24,"(364, 178, 94, 48)",15:52:34
25,"(364, 180, 97, 53)",15:52:34
26,"(364, 182, 97, 53)",15:52:34
27,"(351, 186, 102, 52)",15:52:34
28,"(336, 189, 95, 50)",15:52:35
29,"(322, 190, 94, 49)",15:52:35
30,"(314, 193, 96, 48)",15:52:35
31,"(275, 208, 95, 43)",15:52:35
32,"(276, 212, 91, 42)",15:52:35
33,"(270, 214, 97, 44)",15:52:35
34,"(265, 232, 93, 43)",15:52:35
35,"(257, 258, 91, 41)",15:52:35
36,"(265, 263, 96, 45)",15:52:35
37,"(269, 261, 97, 47)",15:52:36
38,"(270, 250, 96, 45)",15:52:36
39,"(265, 247, 95, 45)",15:52:36
40,"(281, 240, 94, 42)",15:52:36
41,"(281, 241, 95, 42)",15:52:36
42,"(257, 249, 101, 47)",15:52:36
43,"(253, 260, 101, 47)",15:52:36
44,"(256, 263, 101, 47)",15:52:36
45,"(255, 265, 102, 46)",15:52:36
46,"(262, 265, 103, 46)",15:52:36
47,"(264, 266, 101, 45)",15:52:37
48,"(267, 266, 105, 47)",15:52:37
49,"(265, 270, 108, 47)",15:52:37
50,"(264, 273, 110, 48)",15:52:37
51,"(268, 275, 106, 47)",15:52:37
52,"(271, 270, 114, 48)",15:52:37
53,"(284, 271, 109, 46)",15:52:37
54,"(284, 268, 108, 48)",15:52:37
55,"(284, 268, 107, 48)",15:52:37
56,"(285, 267, 105, 49)",15:52:38
57,"(285, 267, 105, 48)",15:52:38
58,"(285, 267, 105, 48)",15:52:38
59,"(285, 267, 108, 49)",15:52:38
60,"(284, 268, 107, 48)",15:52:38
61,"(285, 267, 104, 48)",15:52:38
62,"(284, 267, 106, 49)",15:52:38
63,"(285, 267, 109, 49)",15:52:38
64,"(286, 269, 107, 48)",15:52:38
65,"(285, 267, 107, 49)",15:52:38
66,"(287, 268, 108, 48)",15:52:39
67,"(286, 267, 109, 49)",15:52:39
68,"(286, 267, 111, 49)",15:52:39
69,"(286, 265, 114, 50)",15:52:39
70,"(286, 266, 112, 49)",15:52:39
71,"(284, 267, 112, 49)",15:52:39
72,"(285, 267, 111, 49)",15:52:39
73,"(288, 267, 113, 49)",15:52:39
74,"(291, 267, 109, 48)",15:52:39
75,"(287, 262, 112, 50)",15:52:40
76,"(287, 262, 113, 49)",15:52:40
77,"(292, 260, 108, 48)",15:52:40
78,"(296, 261, 108, 49)",15:52:40
79,"(296, 261, 108, 49)",15:52:40
80,"(294, 262, 107, 47)",15:52:40
81,"(294, 265, 105, 46)",15:52:40
82,"(297, 266, 105, 46)",15:52:40
83,"(297, 266, 105, 46)",15:52:40
84,"(295, 264, 110, 49)",15:52:40
85,"(295, 266, 113, 49)",15:52:41
86,"(304, 266, 108, 49)",15:52:41
87,"(304, 266, 108, 49)",15:52:41
88,"(301, 266, 115, 50)",15:52:41
89,"(302, 267, 115, 48)",15:52:41
90,"(305, 267, 113, 48)",15:52:41
91,"(305, 267, 112, 48)",15:52:41
92,"(306, 267, 111, 48)",15:52:41
93,"(304, 267, 112, 49)",15:52:41
94,"(304, 267, 112, 49)",15:52:42
95,"(305, 267, 112, 48)",15:52:42
96,"(307, 267, 107, 49)",15:52:42
97,"(305, 268, 110, 48)",15:52:42
98,"(304, 270, 110, 48)",15:52:42
99,"(303, 270, 111, 48)",15:52:42
100,"(304, 269, 108, 48)",15:52:42
101,"(303, 267, 114, 50)",15:52:42
102,"(302, 266, 116, 49)",15:52:42
103,"(314, 267, 111, 48)",15:52:43
104,"(311, 269, 107, 48)",15:52:43
105,"(310, 266, 106, 48)",15:52:43
106,"(313, 265, 105, 47)",15:52:43
107,"(325, 267, 103, 46)",15:52:43
108,"(331, 274, 97, 41)",15:52:43
109,"(333, 274, 96, 41)",15:52:43
110,"(344, 275, 93, 41)",15:52:43
111,"(354, 275, 93, 43)",15:52:43
112,"(360, 273, 98, 43)",15:52:43
113,"(361, 272, 100, 44)",15:52:44
114,"(368, 275, 104, 49)",15:52:44
115,"(371, 282, 107, 48)",15:52:44
116,"(371, 282, 107, 48)",15:52:44
117,"(367, 281, 106, 48)",15:52:44
118,"(368, 279, 99, 45)",15:52:44
119,"(379, 273, 95, 42)",15:52:44
120,"(258, 135, 362, 345)",15:52:44
121,"(285, 157, 346, 323)",15:52:44
122,"(539, 412, 72, 46)",15:52:45
123,"(560, 415, 80, 49)",15:52:45
124,"(456, 380, 99, 57)",15:52:51
125,"(369, 365, 91, 53)",15:52:51
126,"(358, 359, 90, 51)",15:52:51
127,"(358, 346, 82, 46)",15:52:52
128,"(366, 354, 88, 48)",15:52:52
129,"(363, 355, 89, 48)",15:52:52
130,"(360, 355, 92, 50)",15:52:52
131,"(353, 357, 90, 50)",15:52:52
132,"(359, 361, 90, 48)",15:52:52
133,"(2, 97, 183, 165)",15:52:52
134,"(363, 361, 90, 48)",15:52:52
135,"(2, 97, 181, 163)",15:52:52
136,"(370, 360, 90, 48)",15:52:52
137,"(383, 359, 88, 48)",15:52:52
138,"(2, 94, 182, 167)",15:52:52
139,"(387, 357, 89, 48)",15:52:53
140,"(2, 95, 183, 166)",15:52:53
141,"(389, 356, 89, 50)",15:52:53
142,"(2, 95, 183, 166)",15:52:53
143,"(400, 357, 89, 49)",15:52:53
144,"(2, 96, 185, 165)",15:52:53
145,"(408, 355, 92, 49)",15:52:53
146,"(2, 92, 188, 169)",15:52:53
147,"(416, 355, 93, 50)",15:52:53
148,"(419, 355, 91, 50)",15:52:53
149,"(2, 92, 187, 169)",15:52:53
150,"(413, 355, 95, 50)",15:52:53
151,"(2, 95, 187, 166)",15:52:53
152,"(419, 356, 90, 48)",15:52:53
153,"(2, 92, 186, 169)",15:52:53
154,"(420, 357, 90, 49)",15:52:53
155,"(2, 92, 186, 169)",15:52:53
156,"(424, 358, 92, 49)",15:52:53
157,"(1, 93, 186, 168)",15:52:53
158,"(426, 359, 93, 49)",15:52:54
159,"(2, 92, 187, 169)",15:52:54
160,"(431, 360, 89, 48)",15:52:54
161,"(2, 92, 187, 169)",15:52:54
162,"(434, 360, 92, 48)",15:52:54
163,"(437, 362, 91, 48)",15:52:54
164,"(441, 362, 95, 49)",15:52:54
165,"(444, 362, 92, 49)",15:52:54
166,"(2, 91, 186, 170)",15:52:54
167,"(446, 363, 93, 48)",15:52:54
168,"(2, 94, 187, 167)",15:52:54
169,"(451, 362, 92, 48)",15:52:54
170,"(2, 93, 187, 168)",15:52:54
171,"(454, 357, 94, 50)",15:52:54
172,"(1, 91, 189, 170)",15:52:54
173,"(455, 356, 95, 51)",15:52:55
174,"(1, 91, 189, 171)",15:52:55
175,"(463, 357, 92, 50)",15:52:55
176,"(466, 357, 91, 51)",15:52:55
177,"(1, 93, 189, 169)",15:52:55
178,"(468, 359, 90, 50)",15:52:55
179,"(474, 347, 94, 50)",15:52:55
180,"(2, 91, 190, 172)",15:52:55
181,"(1, 92, 189, 171)",15:52:55
182,"(517, 275, 73, 41)",15:52:55
183,"(526, 272, 81, 43)",15:52:55
184,"(1, 91, 187, 172)",15:52:55
185,"(457, 172, 57, 29)",15:52:55
186,"(455, 171, 54, 27)",15:52:56
187,"(449, 187, 49, 25)",15:52:56
188,"(492, 173, 46, 23)",15:52:56
189,"(500, 173, 48, 24)",15:52:56
190,"(591, 203, 49, 31)",15:52:57
191,"(571, 220, 68, 31)",15:52:57
192,"(567, 237, 73, 36)",15:52:57
193,"(567, 246, 73, 35)",15:52:57
194,"(493, 54, 90, 80)",15:53:00
195,"(563, 31, 75, 57)",15:53:00
196,"(366, 90, 105, 28)",15:53:00
197,"(269, 384, 88, 41)",15:53:00
198,"(263, 87, 122, 57)",15:53:00
199,"(252, 99, 130, 64)",15:53:00
200,"(317, 129, 126, 65)",15:53:00
201,"(470, 103, 164, 75)",15:53:01
202,"(493, 97, 146, 69)",15:53:01
203,"(541, 70, 99, 72)",15:53:01
204,"(536, 60, 104, 71)",15:53:01
205,"(466, 453, 130, 26)",15:53:01
206,"(457, 436, 113, 39)",15:53:01
207,"(519, 50, 121, 72)",15:53:01
208,"(451, 429, 112, 44)",15:53:01
209,"(510, 43, 130, 72)",15:53:01
210,"(451, 429, 112, 44)",15:53:01
211,"(510, 44, 130, 71)",15:53:01
212,"(506, 53, 134, 71)",15:53:01
213,"(451, 438, 109, 37)",15:53:01
214,"(479, 60, 136, 69)",15:53:01
215,"(422, 443, 110, 34)",15:53:01
216,"(611, 423, 28, 55)",15:53:01
217,"(386, 444, 115, 34)",15:53:02
218,"(442, 65, 138, 71)",15:53:02
219,"(437, 64, 195, 74)",15:53:02
220,"(576, 419, 62, 60)",15:53:02
221,"(416, 71, 142, 69)",15:53:02
222,"(365, 445, 113, 33)",15:53:02
223,"(370, 87, 140, 70)",15:53:02
224,"(311, 454, 127, 25)",15:53:02
225,"(336, 106, 138, 69)",15:53:02
226,"(330, 115, 137, 66)",15:53:02
227,"(292, 138, 137, 67)",15:53:02
228,"(266, 146, 137, 64)",15:53:02
229,"(251, 149, 138, 69)",15:53:02
230,"(251, 149, 137, 67)",15:53:02
231,"(248, 139, 140, 64)",15:53:03
232,"(245, 133, 136, 63)",15:53:03
233,"(239, 142, 141, 66)",15:53:03
234,"(240, 148, 139, 61)",15:53:03
235,"(234, 157, 139, 69)",15:53:03
236,"(230, 157, 140, 68)",15:53:03
237,"(230, 157, 140, 69)",15:53:03
238,"(238, 164, 143, 69)",15:53:03
239,"(244, 176, 148, 69)",15:53:03
240,"(253, 174, 141, 68)",15:53:03
241,"(252, 174, 144, 67)",15:53:04
242,"(262, 167, 135, 65)",15:53:04
243,"(268, 166, 135, 65)",15:53:04
244,"(269, 166, 137, 63)",15:53:04
245,"(266, 170, 143, 66)",15:53:04
246,"(268, 180, 137, 64)",15:53:04
247,"(267, 183, 139, 66)",15:53:04
248,"(269, 181, 137, 63)",15:53:04
249,"(268, 174, 139, 63)",15:53:04
250,"(281, 171, 137, 65)",15:53:05
251,"(289, 176, 132, 61)",15:53:05
252,"(288, 179, 134, 60)",15:53:05
253,"(293, 184, 129, 60)",15:53:05
254,"(294, 185, 131, 60)",15:53:05
255,"(297, 181, 127, 61)",15:53:05
256,"(208, 248, 331, 76)",15:53:05
257,"(306, 169, 125, 58)",15:53:05
258,"(327, 158, 121, 57)",15:53:05
259,"(318, 154, 245, 64)",15:53:05
260,"(339, 153, 124, 54)",15:53:05
261,"(292, 454, 116, 25)",15:53:05
262,"(363, 154, 111, 51)",15:53:05
263,"(321, 437, 88, 38)",15:53:05
264,"(365, 154, 114, 50)",15:53:06
265,"(329, 433, 84, 39)",15:53:06
266,"(415, 154, 97, 49)",15:53:06
267,"(436, 160, 91, 45)",15:53:06
268,"(427, 177, 86, 42)",15:53:06
269,"(431, 184, 83, 43)",15:53:06
270,"(449, 226, 66, 34)",15:53:06
